"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","LTINT","TOT","PC_PA","Q","2000-Q1",8.516666,
"HUN","LTINT","TOT","PC_PA","Q","2000-Q2",8.56,
"HUN","LTINT","TOT","PC_PA","Q","2000-Q3",8.213333,
"HUN","LTINT","TOT","PC_PA","Q","2000-Q4",8.91,
"HUN","LTINT","TOT","PC_PA","Q","2001-Q1",8.32,
"HUN","LTINT","TOT","PC_PA","Q","2001-Q2",8.16,
"HUN","LTINT","TOT","PC_PA","Q","2001-Q3",7.823333,
"HUN","LTINT","TOT","PC_PA","Q","2001-Q4",7.476666,
"HUN","LTINT","TOT","PC_PA","Q","2002-Q1",6.846667,
"HUN","LTINT","TOT","PC_PA","Q","2002-Q2",7.163333,
"HUN","LTINT","TOT","PC_PA","Q","2002-Q3",7.51,
"HUN","LTINT","TOT","PC_PA","Q","2002-Q4",6.823333,
"HUN","LTINT","TOT","PC_PA","Q","2003-Q1",6.506667,
"HUN","LTINT","TOT","PC_PA","Q","2003-Q2",6.113333,
"HUN","LTINT","TOT","PC_PA","Q","2003-Q3",7.013333,
"HUN","LTINT","TOT","PC_PA","Q","2003-Q4",7.46,
"HUN","LTINT","TOT","PC_PA","Q","2004-Q1",8.366667,
"HUN","LTINT","TOT","PC_PA","Q","2004-Q2",8.363334,
"HUN","LTINT","TOT","PC_PA","Q","2004-Q3",8.48,
"HUN","LTINT","TOT","PC_PA","Q","2004-Q4",7.956666,
"HUN","LTINT","TOT","PC_PA","Q","2005-Q1",7.043334,
"HUN","LTINT","TOT","PC_PA","Q","2005-Q2",6.84,
"HUN","LTINT","TOT","PC_PA","Q","2005-Q3",5.876667,
"HUN","LTINT","TOT","PC_PA","Q","2005-Q4",6.633333,
"HUN","LTINT","TOT","PC_PA","Q","2006-Q1",6.79,
"HUN","LTINT","TOT","PC_PA","Q","2006-Q2",7.036667,
"HUN","LTINT","TOT","PC_PA","Q","2006-Q3",7.54,
"HUN","LTINT","TOT","PC_PA","Q","2006-Q4",7.096667,
"HUN","LTINT","TOT","PC_PA","Q","2007-Q1",6.903333,
"HUN","LTINT","TOT","PC_PA","Q","2007-Q2",6.63,
"HUN","LTINT","TOT","PC_PA","Q","2007-Q3",6.683333,
"HUN","LTINT","TOT","PC_PA","Q","2007-Q4",6.76,
"HUN","LTINT","TOT","PC_PA","Q","2008-Q1",7.7,
"HUN","LTINT","TOT","PC_PA","Q","2008-Q2",8.2,
"HUN","LTINT","TOT","PC_PA","Q","2008-Q3",7.956666,
"HUN","LTINT","TOT","PC_PA","Q","2008-Q4",9.096666,
"HUN","LTINT","TOT","PC_PA","Q","2009-Q1",10.35333,
"HUN","LTINT","TOT","PC_PA","Q","2009-Q2",10.26333,
"HUN","LTINT","TOT","PC_PA","Q","2009-Q3",8.373333,
"HUN","LTINT","TOT","PC_PA","Q","2009-Q4",7.503334,
"HUN","LTINT","TOT","PC_PA","Q","2010-Q1",7.49,
"HUN","LTINT","TOT","PC_PA","Q","2010-Q2",7.08,
"HUN","LTINT","TOT","PC_PA","Q","2010-Q3",7.166667,
"HUN","LTINT","TOT","PC_PA","Q","2010-Q4",7.39,
"HUN","LTINT","TOT","PC_PA","Q","2011-Q1",7.461,
"HUN","LTINT","TOT","PC_PA","Q","2011-Q2",7.126667,
"HUN","LTINT","TOT","PC_PA","Q","2011-Q3",7.493968,
"HUN","LTINT","TOT","PC_PA","Q","2011-Q4",8.46,
"HUN","LTINT","TOT","PC_PA","Q","2012-Q1",8.946667,
"HUN","LTINT","TOT","PC_PA","Q","2012-Q2",8.466666,
"HUN","LTINT","TOT","PC_PA","Q","2012-Q3",7.4,
"HUN","LTINT","TOT","PC_PA","Q","2012-Q4",6.75,
"HUN","LTINT","TOT","PC_PA","Q","2013-Q1",6.3,
"HUN","LTINT","TOT","PC_PA","Q","2013-Q2",5.583333,
"HUN","LTINT","TOT","PC_PA","Q","2013-Q3",6.083333,
"HUN","LTINT","TOT","PC_PA","Q","2013-Q4",5.726666,
"HUN","LTINT","TOT","PC_PA","Q","2014-Q1",5.82,
"HUN","LTINT","TOT","PC_PA","Q","2014-Q2",5.023334,
"HUN","LTINT","TOT","PC_PA","Q","2014-Q3",4.55,
"HUN","LTINT","TOT","PC_PA","Q","2014-Q4",3.843333,
"HUN","LTINT","TOT","PC_PA","Q","2015-Q1",3.18,
"HUN","LTINT","TOT","PC_PA","Q","2015-Q2",3.576667,
"HUN","LTINT","TOT","PC_PA","Q","2015-Q3",3.61,
"HUN","LTINT","TOT","PC_PA","Q","2015-Q4",3.363333,
"HUN","LTINT","TOT","PC_PA","Q","2016-Q1",3.283333,
"HUN","LTINT","TOT","PC_PA","Q","2016-Q2",3.226667,
"HUN","LTINT","TOT","PC_PA","Q","2016-Q3",2.863333,
"HUN","LTINT","TOT","PC_PA","Q","2016-Q4",3.2,
"HUN","LTINT","TOT","PC_PA","Q","2017-Q1",3.466667,
"HUN","LTINT","TOT","PC_PA","Q","2017-Q2",3.123333,
"HUN","LTINT","TOT","PC_PA","Q","2017-Q3",2.97,
"HUN","LTINT","TOT","PC_PA","Q","2017-Q4",2.29,
"HUN","LTINT","TOT","PC_PA","Q","2018-Q1",2.403333,
"HUN","LTINT","TOT","PC_PA","Q","2018-Q2",2.92,
"HUN","LTINT","TOT","PC_PA","Q","2018-Q3",3.456667,
"HUN","LTINT","TOT","PC_PA","Q","2018-Q4",3.453333,
"HUN","LTINT","TOT","PC_PA","Q","2019-Q1",2.853333,
"HUN","LTINT","TOT","PC_PA","Q","2019-Q2",3.023333,
"HUN","LTINT","TOT","PC_PA","Q","2019-Q3",2.06,
"HUN","LTINT","TOT","PC_PA","Q","2019-Q4",1.923333,
